id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
55430,None,Falecimento sob Cuidados,0,0,0
55433,None,Falecimento sob Cuidados,0,0,0
55434,None,Falecimento sob Cuidados,0,0,0
55438,None,Falecimento sob Cuidados,0,0,0
55439,None,Falecimento sob Cuidados,0,0,0
55439,None,Falecimento sob Cuidados,0,0,0
55439,None,Falecimento sob Cuidados,0,0,0
55440,None,Falecimento sob Cuidados,0,0,0
55441,None,Falecimento sob Cuidados,0,0,0
55442,None,Falecimento sob Cuidados,0,0,0
55444,None,Falecimento sob Cuidados,0,0,0
55445,None,Falecimento sob Cuidados,0,0,0
55446,None,Falecimento sob Cuidados,0,0,0
55447,None,Falecimento sob Cuidados,0,0,0
55448,None,Falecimento sob Cuidados,0,0,0
55448,None,Falecimento sob Cuidados,0,0,0
55449,None,Falecimento sob Cuidados,0,0,0
55449,None,Falecimento sob Cuidados,0,0,0
55450,None,Falecimento sob Cuidados,0,0,0
55450,None,Falecimento sob Cuidados,0,0,0
55451,None,Falecimento sob Cuidados,0,0,0
55451,None,Falecimento sob Cuidados,0,0,0
55452,None,Falecimento sob Cuidados,0,0,0
55452,None,Falecimento sob Cuidados,0,0,0
55453,None,Falecimento sob Cuidados,0,0,0
55454,None,Falecimento sob Cuidados,0,0,0
55455,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55456,None,Falecimento sob Cuidados,0,0,0
55458,2017-08-26 00:00:00,Intratavel / Ingerenciavel,0,1,0
55462,None,Falecimento sob Cuidados,0,0,0
55463,None,Falecimento sob Cuidados,0,0,0
55464,None,Falecimento sob Cuidados,0,0,0
