id_animal,data_entrada,motivo_entrada,transferencia,codigo_abrigo,localizacao,data_movimentacao,tipo_movimentacao,adocao_teste,data_retorno,motivo_retorno
56328,2017-06-24 12:21:42,Entrega de Ninhada,0,C1706577,Recepcao,2017-07-05 00:00:00,Adocao,0.0,None,Animal Errante
56329,2017-06-24 12:25:55,Captura / Castracao / Soltura (TNR),0,C1706578,"Cuidados Especiais, Gatos",2017-07-11 00:00:00,Adocao,0.0,None,Animal Errante
56330,2017-06-24 13:16:21,Incompativel com Estilo de Vida do Tutor,0,C1706579,Gatos Errantes,2017-06-25 00:00:00,Transferencia,0.0,None,Animal Errante
56331,2017-06-24 16:19:42,Incompativel com Estilo de Vida do Tutor,0,C1706580,"Gatos Adotaveis, Colonia Grande",2017-07-07 00:00:00,Adocao,0.0,None,Animal Errante
56332,2017-06-24 16:19:42,Incompativel com Estilo de Vida do Tutor,0,C1706581,"Gatos Adotaveis, Colonia Grande",2017-08-09 00:00:00,Adocao,0.0,None,Animal Errante
56334,2017-06-24 20:44:58,Apoio Policial,0,D1706583,"Caes Errantes, Beta",2017-07-16 00:00:00,Adocao,0.0,2017-07-17 00:00:00,Incompativel com Estilo de Vida do Tutor
56334,2017-06-24 20:44:58,Apoio Policial,0,D1706583,"Caes Errantes, Beta",2017-07-19 00:00:00,Adocao,0.0,2017-07-31 00:00:00,Incompativel com Estilo de Vida do Tutor
56337,2017-06-25 13:19:54,Problemas com Proprietario do Imovel,0,D1706584,Cães Adotaveis,2017-07-05 00:00:00,Adocao,0.0,None,Animal Errante
56338,2017-06-25 15:58:29,Mordedura,0,D1706014,"Caes Errantes, Theta",2017-07-05 00:00:00,Recuperado pelo Tutor,0.0,2017-09-22 00:00:00,Mordida
56338,2017-06-25 15:58:29,Mordedura,0,D1706014,"Caes Errantes, Theta",2017-10-01 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56339,2017-06-25 16:37:28,Apoio Policial,0,D1706089,Abrigo,2017-06-26 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56341,2017-06-26 09:08:21,Animal Errante,0,D1706579,"Caes Errantes, Theta",2017-08-08 00:00:00,Transferencia,0.0,None,Animal Errante
56342,2017-06-26 10:30:33,Animal Errante,0,D1706091,Cães Adotaveis,2017-07-13 00:00:00,Adocao,0.0,None,Animal Errante
56343,2017-06-25 13:18:48,Apoio Policial,0,D1706092,Abrigo,2017-06-26 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56344,2017-06-26 13:45:11,Problemas com Proprietario do Imovel,0,C1706585,"Gatos Adotaveis, Colonia Grande",2017-07-02 00:00:00,Adocao,0.0,None,Animal Errante
56345,2017-06-26 13:53:21,Incompativel com Estilo de Vida do Tutor,0,F1706586,Check-in,2017-06-29 00:00:00,Transferencia,0.0,None,Animal Errante
56347,2017-06-26 15:20:15,Animal Errante,0,C1706582,"Gatos Adotaveis, Colonia Pequena",2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56348,2017-06-26 15:45:19,Animal Errante,0,C1706583,Gatos Errantes,2017-06-27 00:00:00,Transferencia,0.0,None,Animal Errante
56351,2017-06-26 18:27:26,Animal Errante,0,D1706585,"Caes Errantes, Beta",2017-07-10 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56355,2017-06-27 11:57:02,Animal Errante,0,D1706586,"Caes Errantes, Theta",2017-06-27 00:00:00,Recuperado pelo Tutor,0.0,2017-12-18 00:00:00,Animal Errante
56355,2017-06-27 11:57:02,Animal Errante,0,D1706586,"Caes Errantes, Theta",2017-12-18 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56356,2017-06-27 12:04:47,Incompativel com Estilo de Vida do Tutor,0,C1706001,"Gatos Adotaveis, Canis",2017-06-29 00:00:00,Adocao,0.0,None,Animal Errante
56357,2017-06-27 12:04:47,Incompativel com Estilo de Vida do Tutor,0,C1706002,"Gatos Adotaveis, Canis",2017-07-01 00:00:00,Adocao,0.0,None,Animal Errante
56358,2017-06-27 12:04:47,Incompativel com Estilo de Vida do Tutor,0,C1706003,Escritorio,2017-07-07 00:00:00,Adocao,0.0,None,Animal Errante
56359,2017-06-27 12:04:47,Incompativel com Estilo de Vida do Tutor,0,C1706587,"Gatos Adotaveis, Canis",2017-06-30 00:00:00,Adocao,0.0,None,Animal Errante
56360,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706588,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56361,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706589,Recepcao,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56362,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706590,Recepcao,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56363,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706591,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56364,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706592,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56365,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706593,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56366,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706594,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56367,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706595,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56368,2017-06-27 12:10:06,Incompativel com Estilo de Vida do Tutor,0,G1706596,Recepcao,2017-07-28 00:00:00,Adocao,0.0,None,Animal Errante
56376,2017-06-27 13:49:32,Incompativel com Estilo de Vida do Tutor,0,H1706604,Recepcao,2017-07-13 00:00:00,Adocao,0.0,None,Animal Errante
56380,2017-06-27 14:28:42,Animal Errante,0,D1706590,"Caes Errantes, Theta",2017-07-14 00:00:00,Adocao,0.0,None,Animal Errante
56381,2017-06-27 14:36:05,Animal Errante,0,C1706591,"Gatos Adotaveis, Colonia de Vidro",2017-07-06 00:00:00,Adocao,0.0,None,Animal Errante
56383,2017-06-27 17:13:52,Separacao / Divorcio,0,R1706605,Recepcao,2017-07-13 00:00:00,Adocao,0.0,None,Animal Errante
56384,2017-06-27 17:13:52,Separacao / Divorcio,0,R1706606,Recepcao,2017-07-24 00:00:00,Adocao,0.0,None,Animal Errante
56385,2017-06-27 17:50:06,Entrega de Ninhada,0,C1706607,Escritorio,2017-07-05 00:00:00,Adocao,0.0,None,Animal Errante
56386,2017-06-27 17:50:06,Entrega de Ninhada,0,C1706608,Escritorio,2017-07-05 00:00:00,Adocao,0.0,None,Animal Errante
56387,2017-06-27 17:50:06,Entrega de Ninhada,0,C1706609,"Gatos Adotaveis, Canis",2017-07-05 00:00:00,Adocao,0.0,None,Animal Errante
56388,2017-06-28 12:06:04,Incompativel com Estilo de Vida do Tutor,0,R1706610,Recepcao,2017-07-05 00:00:00,Adocao,0.0,None,Animal Errante
56389,2017-06-28 12:07:19,Animal Errante,0,D1706592,"Caes Errantes, Beta",2017-06-30 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
